"","base_text","base_value"
"1","대한민국와 푸에르토리코간의 거리","13,809 km"
"2","대한민국와 홍콩간의 거리","1,999 km"
"3","대한민국와 포르투칼간의 거리","10,509 km"
"4","대한민국와 온두라스간의 거리","13,300 km"
"5","대한민국와 파라과이간의 거리","18,505 km"
"6","대한민국와 크로아티아간의 거리","8,750 km"
"7","대한민국와 하이티간의 거리","13,557 km"
"8","대한민국와 예멘간의 거리","8,047 km"
"9","대한민국와 헝가리간의 거리","8,348 km"
"10","대한민국와 카타르간의 거리","7,239 km"
"11","대한민국와 인도네시아간의 거리","4,325 km"
"12","대한민국와 마요티간의 거리","10,189 km"
"13","대한민국와 아일랜드간의 거리","9,218 km"
"14","대한민국와 안도라간의 거리","9,732 km"
"15","대한민국와 이스라엘간의 거리","8,284 km"
"16","대한민국와 아랍에미리트간의 거리","7,112 km"
"17","대한민국와 아프가니스탄간의 거리","5,391 km"
"18","대한민국와 인도간의 거리","5,016 km"
"19","대한민국와 남아프리카간의 거리","13,173 km"
"20","대한민국와 안길라간의 거리","13,888 km"
"21","대한민국와 이라크간의 거리","7,447 km"
"22","대한민국와 이란간의 거리","6,656 km"
"23","대한민국와 아이슬란드간의 거리","8,433 km"
"24","대한민국와 알바니아간의 거리","8,714 km"
"25","대한민국와 이탈리아간의 거리","9,147 km"
"26","대한민국와 아르메니아간의 거리","6,991 km"
"27","대한민국와 앙골라간의 거리","12,520 km"
"28","대한민국와 아르헨티나간의 거리","18,968 km"
"29","대한민국와 오스트리아간의 거리","8,614 km"
"30","대한민국와 잠비아간의 거리","11,743 km"
"31","대한민국와 오스트레일리아간의 거리","6,832 km"
"32","대한민국와 아루바간의 거리","14,316 km"
"33","대한민국와 아제르바이잔간의 거리","6,791 km"
"34","대한민국와 루마니아간의 거리","8,088 km"
"35","대한민국와 짐바브웨간의 거리","11,987 km"
"36","대한민국와 보스니아 헤르체고비나간의 거리","8,683 km"
"37","대한민국와 바베이도스간의 거리","14,501 km"
"38","대한민국와 방글라데시간의 거리","3,829 km"
"39","대한민국와 벨기에간의 거리","8,920 km"
"40","대한민국와 자메이카간의 거리","13,454 km"
